age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,class
23,State-gov,241752,Some-college,13,Divorced,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K
43,State-gov,185385,Some-college,13,Married-civ-spouse,,Unmarried,White,Male,0,0,40,United-States,>50K
80,Federal-gov,177596,HS-grad,13,Never-married,Sales,Husband,White,Male,0,0,50,United-States,<=50K
49,,211570,10th,10,Married-civ-spouse,Craft-repair,Husband,White,Female,0,0,40,United-States,<=50K
39,Private,151411,Assoc-voc,9,Never-married,Craft-repair,Own-child,White,Female,0,0,40,United-States,<=50K
30,Private,311376,HS-grad,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K
26,Private,186346,HS-grad,10,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,>50K
46,,63434,Some-college,13,Never-married,Exec-managerial,Other-relative,White,Male,0,1721,40,United-States,<=50K
30,Private,227359,Some-college,10,Married-civ-spouse,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,<=50K
47,Private,126677,Prof-school,5,Married-civ-spouse,Tech-support,Other-relative,White,Male,0,0,45,United-States,>50K
26,Private,179668,HS-grad,9,Married-civ-spouse,Prof-specialty,Wife,White,Male,0,0,40,United-States,<=50K
22,Local-gov,116952,Some-college,10,Married-civ-spouse,,Not-in-family,White,Male,0,0,40,United-States,<=50K
40,Private,172146,Some-college,11,Married-civ-spouse,Craft-repair,Not-in-family,White,Female,0,0,20,United-States,>50K
20,Self-emp-not-inc,393376,Some-college,13,Never-married,Adm-clerical,Husband,White,Male,0,0,50,United-States,<=50K
17,Self-emp-not-inc,110556,Bachelors,16,Never-married,Machine-op-inspct,Husband,White,Female,0,0,40,United-States,<=50K
68,Self-emp-not-inc,112305,Bachelors,9,Married-civ-spouse,Other-service,Husband,White,Female,0,1902,30,United-States,<=50K
39,Private,228465,11th,10,Divorced,Other-service,Not-in-family,White,Male,0,0,40,United-States,<=50K
33,,137613,11th,12,Separated,Craft-repair,Husband,White,Female,0,0,40,United-States,<=50K
43,Private,77218,Some-college,10,Never-married,Other-service,Unmarried,White,Female,0,0,40,United-States,<=50K
50,Private,144995,Bachelors,14,Widowed,Prof-specialty,Husband,Black,Male,0,0,30,United-States,<=50K
37,Private,347890,HS-grad,13,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,50,United-States,<=50K
42,Private,101020,Doctorate,13,Married-civ-spouse,Machine-op-inspct,Not-in-family,Amer-Indian-Eskimo,Male,0,0,20,United-States,<=50K
34,Private,50178,Masters,9,Divorced,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K
33,,55860,Assoc-acdm,13,Married-civ-spouse,Prof-specialty,Own-child,White,Male,0,0,45,United-States,>50K
19,Private,251526,Assoc-voc,11,Divorced,Protective-serv,Husband,White,Female,0,0,30,United-States,<=50K
34,,182388,Some-college,14,Married-civ-spouse,Exec-managerial,Own-child,White,Male,0,0,45,Mexico,<=50K
53,Private,123983,HS-grad,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K
44,,211482,Masters,15,Never-married,Adm-clerical,Husband,White,Female,0,0,40,United-States,<=50K
44,Private,96844,Some-college,10,Separated,Adm-clerical,Husband,White,Male,0,0,40,United-States,<=50K
27,Self-emp-not-inc,361494,HS-grad,13,Married-civ-spouse,Handlers-cleaners,Own-child,Asian-Pac-Islander,Male,0,0,40,United-States,>50K
19,Private,201908,HS-grad,10,Married-civ-spouse,,Husband,White,Female,0,0,40,United-States,>50K
37,Private,115066,Masters,13,Never-married,Exec-managerial,Own-child,Asian-Pac-Islander,Female,0,0,45,United-States,<=50K
35,Private,170850,9th,13,Married-civ-spouse,Other-service,Husband,White,Female,0,0,40,United-States,<=50K
35,Private,333677,Some-college,7,Married-civ-spouse,Craft-repair,Own-child,White,Female,0,0,32,United-States,<=50K
47,Private,311920,HS-grad,11,Never-married,,Not-in-family,White,Male,7298,0,32,United-States,>50K
24,Private,311907,Bachelors,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,20,United-States,<=50K
23,Private,60331,Some-college,9,Married-civ-spouse,,Husband,White,Male,0,0,40,United-States,>50K
39,Private,133461,Assoc-voc,12,Married-civ-spouse,Sales,Husband,White,Male,0,1579,40,United-States,<=50K
51,Private,302626,HS-grad,14,Never-married,Craft-repair,Unmarried,White,Male,0,0,40,United-States,<=50K
40,Private,241126,HS-grad,9,Never-married,Exec-managerial,Own-child,White,Male,0,0,30,United-States,<=50K
28,Private,45037,HS-grad,10,Never-married,Other-service,Husband,White,Male,0,0,40,United-States,>50K
29,Local-gov,149617,HS-grad,10,Never-married,Farming-fishing,Wife,White,Male,0,1902,40,United-States,<=50K
19,Private,170455,Bachelors,9,Never-married,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
52,Private,441454,5th-6th,10,Married-civ-spouse,Adm-clerical,Own-child,White,Male,0,0,60,United-States,<=50K
30,Local-gov,125550,Some-college,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,20,United-States,<=50K
41,Private,31670,7th-8th,13,Never-married,Transport-moving,Not-in-family,White,Male,0,1485,50,United-States,<=50K
43,Private,304252,HS-grad,12,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,<=50K
17,Private,157778,Masters,9,Never-married,Sales,Wife,White,Female,0,0,56,United-States,>50K
19,Private,182390,HS-grad,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States,<=50K
32,Private,173192,9th,9,Separated,Transport-moving,Husband,Black,Male,15024,0,20,United-States,<=50K
42,Private,237920,HS-grad,10,Never-married,Other-service,Not-in-family,White,Male,0,0,60,United-States,>50K
18,Private,137363,12th,8,Never-married,Other-service,Own-child,White,Female,0,0,20,United-States,<=50K
27,Local-gov,198856,Assoc-acdm,10,Never-married,Other-service,Not-in-family,White,Male,0,0,40,United-States,<=50K
24,State-gov,149992,11th,14,Never-married,Sales,Husband,White,Male,0,0,36,United-States,<=50K
47,Private,317660,HS-grad,14,Separated,Sales,Not-in-family,White,Female,0,0,40,United-States,<=50K
33,Private,205145,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Female,0,0,50,United-States,<=50K
35,Self-emp-inc,60267,HS-grad,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United-States,<=50K
19,Private,60548,Bachelors,12,Divorced,Craft-repair,Own-child,White,Female,0,0,35,United-States,>50K
38,Private,160586,Bachelors,11,Divorced,Adm-clerical,Unmarried,Black,Male,0,0,65,United-States,<=50K
19,Private,138564,Some-college,9,Married-civ-spouse,Prof-specialty,Unmarried,Black,Male,0,0,45,United-States,<=50K
30,Private,120238,Assoc-voc,10,Married-civ-spouse,Craft-repair,Husband,White,Male,7430,0,55,United-States,<=50K
35,Private,195602,HS-grad,9,Separated,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,<=50K
29,Local-gov,172694,Some-college,13,Married-civ-spouse,Prof-specialty,Husband,Black,Male,0,0,40,United-States,>50K
28,,36251,Some-college,14,Married-civ-spouse,Craft-repair,Other-relative,White,Male,0,0,40,United-States,<=50K
27,Private,75363,Some-college,9,Divorced,Transport-moving,Own-child,White,Male,0,0,40,United-States,<=50K
29,State-gov,207267,Masters,13,Never-married,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K
72,Private,200426,HS-grad,7,Married-civ-spouse,Adm-clerical,Unmarried,White,Male,0,0,32,United-States,>50K
33,Private,181165,7th-8th,9,Married-civ-spouse,Prof-specialty,Wife,White,Male,0,0,40,United-States,<=50K
30,Private,142444,9th,10,Married-civ-spouse,Adm-clerical,Not-in-family,White,Male,7430,0,45,United-States,<=50K
18,Private,52262,Assoc-acdm,11,Never-married,Sales,Husband,White,Male,0,0,50,,>50K
62,Private,33035,Assoc-voc,13,Never-married,Machine-op-inspct,Own-child,Black,Male,0,0,40,United-States,>50K
28,Private,206066,9th,16,Married-civ-spouse,Prof-specialty,Unmarried,Black,Male,0,0,45,United-States,<=50K
23,Private,186792,Some-college,8,Married-civ-spouse,Other-service,Husband,Asian-Pac-Islander,Male,0,0,40,United-States,<=50K
45,Private,155659,Some-college,9,Married-civ-spouse,Other-service,Not-in-family,White,Male,0,0,45,United-States,<=50K
49,Local-gov,246891,HS-grad,8,Never-married,,Husband,White,Male,3781,0,40,United-States,<=50K
38,Private,185405,Some-college,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,35,United-States,>50K
45,Self-emp-inc,101027,5th-6th,9,Divorced,Other-service,Not-in-family,White,Male,0,0,25,United-States,<=50K
27,Private,249043,Assoc-voc,13,Married-civ-spouse,Farming-fishing,Not-in-family,White,Female,0,0,50,United-States,>50K
21,Private,196773,HS-grad,14,Married-civ-spouse,Sales,Wife,White,Male,0,0,40,United-States,>50K
24,Private,92178,Assoc-acdm,14,Divorced,Farming-fishing,Own-child,White,Male,0,0,40,United-States,<=50K
45,Local-gov,108185,Assoc-voc,9,Never-married,Sales,Husband,White,Female,0,0,40,United-States,>50K
32,Private,113440,Some-college,9,Married-civ-spouse,Sales,Husband,White,Male,0,2258,50,United-States,<=50K
21,Federal-gov,173590,Some-college,12,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,35,United-States,<=50K
32,Private,143078,5th-6th,9,Never-married,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K
46,Private,198997,9th,13,Never-married,Adm-clerical,Husband,White,Female,0,0,43,United-States,>50K
63,Private,287878,HS-grad,13,Divorced,Exec-managerial,Wife,White,Male,2062,0,34,United-States,<=50K
36,Private,290688,Bachelors,10,Divorced,Transport-moving,Own-child,White,Male,3418,0,40,United-States,>50K
62,Private,219883,HS-grad,15,Married-civ-spouse,Transport-moving,Husband,White,Female,0,0,40,United-States,<=50K
33,State-gov,149898,HS-grad,10,Married-civ-spouse,Exec-managerial,Husband,White,Female,0,0,40,United-States,<=50K
26,Federal-gov,51150,9th,7,Married-civ-spouse,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,<=50K
46,Local-gov,162029,Some-college,11,Married-civ-spouse,Prof-specialty,Unmarried,Asian-Pac-Islander,Male,0,0,40,United-States,<=50K
54,Private,289448,Some-college,13,Married-civ-spouse,Exec-managerial,Own-child,White,Male,0,0,40,United-States,<=50K
46,Private,484024,HS-grad,12,Widowed,Farming-fishing,Own-child,Black,Female,7688,0,40,United-States,>50K
39,Private,175697,HS-grad,9,Separated,,Husband,White,Female,0,0,40,United-States,<=50K
49,Local-gov,117767,10th,3,Never-married,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
73,Private,334267,Prof-school,7,Married-civ-spouse,Craft-repair,Not-in-family,White,Female,0,0,40,United-States,<=50K
44,Self-emp-not-inc,47178,HS-grad,7,Never-married,Other-service,Not-in-family,White,Male,0,0,40,United-States,>50K
26,Private,104258,Some-college,12,Married-civ-spouse,Exec-managerial,Wife,White,Male,0,0,48,United-States,<=50K
42,Private,142404,Some-college,13,Married-civ-spouse,Exec-managerial,Husband,White,Female,0,0,36,United-States,>50K
70,Private,235124,Some-college,10,Never-married,Other-service,Not-in-family,White,Male,0,0,40,United-States,<=50K
36,Private,147629,7th-8th,9,Married-civ-spouse,Machine-op-inspct,Husband,Black,Female,0,0,40,United-States,>50K
33,Private,187715,HS-grad,13,Married-civ-spouse,Protective-serv,Not-in-family,White,Male,0,0,60,United-States,<=50K
47,Private,145637,Some-college,3,Married-civ-spouse,Exec-managerial,Other-relative,White,Male,0,0,36,United-States,<=50K
52,Private,186303,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,55,Canada,>50K
57,Private,193998,Bachelors,9,Never-married,Handlers-cleaners,Husband,White,Male,0,0,11,Mexico,<=50K
45,Local-gov,287229,11th,9,Divorced,Adm-clerical,Husband,White,Male,0,0,42,United-States,<=50K
34,Private,180052,Some-college,14,Widowed,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K
32,Private,305446,10th,11,Never-married,Tech-support,Husband,White,Male,0,0,45,United-States,<=50K
59,Private,114882,Masters,13,Married-civ-spouse,Sales,Not-in-family,White,Male,0,0,20,United-States,<=50K
25,Private,29762,11th,7,Married-civ-spouse,Machine-op-inspct,Other-relative,Black,Male,0,0,80,United-States,>50K
28,Private,112137,Bachelors,9,Never-married,Protective-serv,Husband,Amer-Indian-Eskimo,Male,0,1719,50,United-States,<=50K
36,Private,373263,Masters,9,Married-civ-spouse,Exec-managerial,Not-in-family,Black,Male,0,0,60,United-States,>50K
42,Federal-gov,47296,HS-grad,14,Married-civ-spouse,Other-service,Not-in-family,White,Male,0,0,45,United-States,<=50K
30,Private,426431,Bachelors,13,Married-spouse-absent,Craft-repair,Husband,White,Male,0,0,50,United-States,>50K
33,Private,193235,Assoc-voc,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,20,United-States,<=50K
56,Self-emp-not-inc,597843,HS-grad,4,Married-civ-spouse,Adm-clerical,Own-child,White,Male,0,0,40,United-States,<=50K
27,Private,99666,Some-college,13,Married-civ-spouse,Handlers-cleaners,Not-in-family,Black,Male,0,0,40,United-States,<=50K
21,State-gov,164530,9th,9,Divorced,Adm-clerical,Not-in-family,Black,Male,0,0,52,United-States,<=50K
42,Private,251795,Some-college,10,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,50,United-States,>50K
33,Private,183850,HS-grad,14,Never-married,,Own-child,White,Male,0,0,25,United-States,>50K
47,State-gov,404951,Masters,4,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Female,0,0,40,United-States,<=50K
30,,130749,Some-college,10,Married-civ-spouse,,Husband,White,Male,0,0,45,United-States,<=50K
54,,243266,Bachelors,9,Widowed,Exec-managerial,Husband,White,Male,3411,0,32,United-States,>50K
20,,307149,Some-college,10,Never-married,,Own-child,White,Female,0,0,35,United-States,<=50K
37,Private,95647,Assoc-voc,9,Widowed,Exec-managerial,Not-in-family,White,Male,7688,0,36,United-States,>50K
51,Private,187722,Bachelors,5,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,52,United-States,<=50K
51,Private,167062,Some-college,9,Never-married,,Husband,White,Male,0,0,52,United-States,>50K
35,Private,185336,Assoc-voc,5,Married-civ-spouse,,Husband,White,Male,0,0,60,United-States,>50K
28,Private,151369,Bachelors,9,Never-married,Craft-repair,Not-in-family,White,Female,2176,0,25,United-States,<=50K
69,Private,498349,Bachelors,14,Married-civ-spouse,Adm-clerical,Not-in-family,White,Male,0,0,30,United-States,>50K
33,Private,131568,HS-grad,12,Separated,Prof-specialty,Unmarried,White,Female,3674,0,40,United-States,<=50K
22,Private,193882,Bachelors,11,Divorced,Other-service,Husband,White,Male,0,0,40,United-States,>50K
36,Private,107125,HS-grad,13,Never-married,Protective-serv,Husband,White,Female,0,0,30,United-States,>50K
49,Private,125159,HS-grad,11,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,30,United-States,<=50K
35,Private,94873,Bachelors,10,Divorced,Other-service,Unmarried,White,Female,15024,0,30,United-States,<=50K
58,Private,298215,HS-grad,9,Never-married,Prof-specialty,Husband,White,Female,0,0,40,United-States,<=50K
35,State-gov,180019,HS-grad,13,Married-civ-spouse,,Own-child,Black,Male,0,0,40,United-States,<=50K
47,,101027,Some-college,9,Divorced,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,0,0,40,United-States,>50K
35,Private,169683,Bachelors,10,Married-civ-spouse,Craft-repair,Husband,White,Female,0,0,40,United-States,<=50K
44,Self-emp-not-inc,115677,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,<=50K
30,Private,326379,Prof-school,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,<=50K
54,Private,209790,HS-grad,9,Divorced,Exec-managerial,Husband,White,Male,0,0,36,United-States,<=50K
67,,172571,Some-college,9,Never-married,Sales,Husband,White,Male,0,0,40,United-States,>50K
41,Private,26502,Assoc-voc,9,Never-married,Craft-repair,Not-in-family,White,Female,0,0,10,United-States,<=50K
34,Private,206362,Assoc-acdm,14,Never-married,Prof-specialty,Not-in-family,Black,Female,0,0,45,United-States,<=50K
19,Private,160815,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,White,Female,0,0,40,United-States,>50K
33,Private,142535,HS-grad,10,Never-married,Exec-managerial,Husband,White,Male,0,0,40,United-States,<=50K
37,Private,208358,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
47,Private,301168,HS-grad,9,Widowed,Exec-managerial,Not-in-family,White,Male,0,0,56,United-States,<=50K
28,Private,101119,Some-college,10,Never-married,Machine-op-inspct,Husband,White,Female,0,1564,40,,<=50K
44,Self-emp-not-inc,102976,Some-college,9,Married-civ-spouse,Prof-specialty,Own-child,White,Male,0,0,40,United-States,<=50K
42,Self-emp-not-inc,21174,11th,10,Married-civ-spouse,Prof-specialty,Unmarried,White,Male,0,0,35,,<=50K
41,Private,238267,HS-grad,9,Divorced,,Husband,White,Male,0,0,56,United-States,<=50K
22,Federal-gov,111712,Some-college,10,Never-married,Craft-repair,Wife,White,Female,15024,0,36,United-States,<=50K
52,Local-gov,270194,Bachelors,6,Married-civ-spouse,Craft-repair,Not-in-family,White,Female,0,0,32,United-States,>50K
37,Private,41879,Some-college,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,25,United-States,<=50K
32,Private,195748,Some-college,9,Married-civ-spouse,Machine-op-inspct,Own-child,White,Male,0,0,60,United-States,<=50K
41,Self-emp-not-inc,165014,HS-grad,7,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,45,United-States,>50K
17,Private,28035,Assoc-voc,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,45,United-States,<=50K
21,Private,267989,Some-college,13,Never-married,Transport-moving,Own-child,White,Female,1471,0,38,United-States,<=50K
42,Local-gov,66883,HS-grad,11,Divorced,Craft-repair,Wife,White,Female,0,0,22,United-States,>50K
24,Private,247506,HS-grad,13,Married-civ-spouse,Adm-clerical,Husband,White,Female,0,0,40,United-States,>50K
21,Local-gov,200574,HS-grad,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,50,United-States,<=50K
49,Self-emp-not-inc,93125,Some-college,14,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
57,Federal-gov,135716,HS-grad,9,Never-married,Machine-op-inspct,Husband,White,Female,0,0,35,United-States,<=50K
47,Private,199609,HS-grad,9,Divorced,Sales,Not-in-family,White,Male,0,0,40,United-States,<=50K
51,Private,89295,Some-college,9,Never-married,Sales,Unmarried,White,Male,0,0,54,United-States,<=50K
61,Private,176949,Some-college,14,Widowed,Craft-repair,Unmarried,White,Male,0,0,40,United-States,<=50K
43,Private,35245,HS-grad,9,Married-civ-spouse,Exec-managerial,Not-in-family,White,Male,0,0,60,United-States,<=50K
39,Private,264055,Some-college,6,Divorced,Craft-repair,Own-child,White,Female,0,0,40,United-States,<=50K
48,Private,67339,HS-grad,13,Never-married,Other-service,Not-in-family,White,Male,0,0,40,United-States,<=50K
35,Private,238002,Bachelors,9,Divorced,Sales,Unmarried,White,Male,0,0,60,United-States,>50K
24,Private,356410,Assoc-acdm,10,Married-civ-spouse,Adm-clerical,Not-in-family,White,Female,0,0,60,United-States,<=50K
35,Private,132728,7th-8th,13,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,18,United-States,>50K
33,Self-emp-inc,286419,Masters,13,Divorced,Machine-op-inspct,Wife,White,Female,0,0,45,United-States,<=50K
30,Private,97261,Prof-school,9,Married-civ-spouse,Exec-managerial,Not-in-family,White,Female,0,1594,40,United-States,<=50K
19,Local-gov,181200,HS-grad,8,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,0,0,40,United-States,>50K
21,Private,102470,HS-grad,12,Married-spouse-absent,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,>50K
51,Private,105830,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Female,0,0,40,United-States,<=50K
38,Private,256796,Assoc-acdm,10,Never-married,Machine-op-inspct,Unmarried,Asian-Pac-Islander,Male,0,0,44,United-States,<=50K
32,Private,190020,11th,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,50,United-States,>50K
44,Self-emp-not-inc,128777,Masters,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,27,United-States,<=50K
